




		
		Nombre;Sector;Palabras clave:;Fecha de incorporación al catálogo:;Fecha de actualización:;Fecha de obtención de datos desde:;Fecha de obtención de datos hasta:;Frecuencia de actualización:;Responsable del conjunto de datos:;Editor:;Licencia:;Lugar:;Formatos;Descargas;URL
Ortofoto actualizada;urbanismo-infraestructuras;Ortofotografía, vuelo, ortomosaicado, ortoproyección, modelo digital;12/02/2025;;;;sindefinir;A.G. Urbanismo, Medio Ambiente y Movilidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;wms,;8;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=a9f7ba8b399f4910VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Archivos. Cuadro de clasificación;sector-publico;archivos, cuadro de clasificación, gestión documental;06/02/2025;10/02/2025;;06/02/2025;sindefinir;Dirección General de Bibliotecas, Archivos y Museos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;;6;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=14b8f33afeee4910VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Callejero oficial. Viales vigentes;urbanismo-infraestructuras;Nombres geograficos, Callejero, viales;11/02/2025;;;;diaria;A.G. Urbanismo, Medio Ambiente y Movilidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;wms,;9;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=59b7ec8124404910VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Callejero oficial. Subviales vigentes;urbanismo-infraestructuras;Nombres geograficos, Callejero, subviales;11/02/2025;;;;diaria;A.G. Urbanismo, Medio Ambiente y Movilidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;wms,;6;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=4082ec8124404910VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Callejero oficial. Rotulación del callejero municipal;urbanismo-infraestructuras;Nombres geograficos, Callejero, rotulacion;11/02/2025;;;;diaria;A.G. Urbanismo, Medio Ambiente y Movilidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;shp,wms,;5;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=85c14152f6204910VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Callejero oficial. Geometrías de rotulación de callejero (viales y toponimia);urbanismo-infraestructuras;Nombres geograficos, Callejero;11/02/2025;;;;diaria;A.G. Urbanismo, Medio Ambiente y Movilidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;shp,;0;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=4d7a4152f6204910VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Modelo digital de superficies (MDS) 2019;urbanismo-infraestructuras;cartografia, Elevaciones, MDS;11/02/2025;;;;sindefinir;A.G. Urbanismo, Medio Ambiente y Movilidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;shp,kml,;6;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=85d1c51571204910VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Servicio de mapas del modelo digital del terreno (MDT) 2019;urbanismo-infraestructuras;Cubierta terrestre, elevaciones, mapas;11/02/2025;;;;diaria;A.G. Urbanismo, Medio Ambiente y Movilidad;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;wms,;7;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=15cbc51571204910VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Evaluación de las Unidades Distritales de Colaboración (UDC);sector-publico;Unidades Distritales de Colaboración, evaluación, ciudadanía, actuaciones, estudio;19/12/2024;18/12/2024;;;anual;Dirección General de Coordinación Territorial y Desconcentración;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;154;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=00d6ae51504d3910VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de las personas usuarias de las visitas guiadas por Madrid;cultura-ocio;servicios públicos, sondeos, encuestas, cultura;10/12/2024;10/12/2024;;31/12/2023;anual;Dirección de Turismo de la Empresa Madrid Destino;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;61;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=5ac163238a0b3910VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
